text,Reminder System,Reward Programme,Miscellaneous,MisSelling,Channel of Communication,Inappropriate pricing,Transparency of communication,Ineffectual Customer Service,output,Category
"BarclaysUK  a Barclaycard customer,  I'm going abroad and the card will expire. Wasted an hour on the phone to get to replacement card. Which arrived with the same expiry date. Useless. No secure messaging or chat is available. I complained, heard nothing, now on Twitter. Bravo.",0.00044166,0.000357332,0.003579316,0.000963945,0.382169425,0.000348742,0.00133474,0.610804856,Ineffectual Customer Service,Channel of Communication
Hey Barclays thanks for stopping my old bank card before the new one has arrived. Really helpful when I'm trying to buy food!,0.137713909,0.065737143,0.240834758,0.054007266,0.174834266,0.065441951,0.171024069,0.090406604,Miscellaneous,Ineffectual Customer Service
"MartinSLewis itvMLshow Just had message from Barclays,  my reward card will change 2.99 for foreign transactions from 31 August!",0.277391016,0.667610288,0.015499713,0.009320755,0.005226023,0.003428104,0.01323669,0.008287407,Reward Programme,Reward Programme
"BarclaysUKHelp Yeah it was, same time as my address got updated &amp; my card was ordered, thing is I got my card delivered just not the pin device, I've now requested a replacement via online services",0.025978768,0.062718861,0.124990791,0.04249391,0.022382256,0.020101294,0.138691798,0.562642276,Ineffectual Customer Service,Channel of Communication
Barclays The only people Barclays or any bank help for that matter is themselves. We are just cash cows to the banks. The more you need them the harder they screw you over.  Best saving rate at a high street bank 3%? Best credit card interest rate 21%? Overdraft rate 35%? https://t.co/b7ZwABB3gS,0.000977198,0.001840939,0.009992566,0.230960876,0.029700009,0.50567019,0.001271955,0.219586343,Inappropriate pricing,Inappropriate pricing
FrontierCare Ready to cancel our Barclays cc. You guys try so hard to get passengers to sign onto your credit card and then you just totally dick them around! We made a payment on the credit card over a week ago and money left our bank acct last week 😡,0.001357803,0.000904584,0.006544033,0.357963711,0.002919274,0.0014161,0.001051029,0.627843499,Ineffectual Customer Service,Ineffectual Customer Service
"We've changed your credit limit to £1,300, I received a text that said I struggle with £2,400 and use my debit card to stay under the limit at peak spending times and could do with a higher not lower limit. I have never defaulted on paying the statement.",0.084472641,0.006694058,0.052239012,0.021089293,0.491731316,0.013078521,0.075646833,0.255048335,Channel of Communication,Inappropriate pricing
"Barclaycard cc MartinSLewis
my 78 year old mum with 100ks of savings has just had her credit limit cut by Barclaycard because she has  have no regular payments going from my account (mortgage or loan repayments). She's solvent! This policy makes no sense at all, please explain",0.011451555,0.0060075,0.1343842,0.031022051,0.328711063,0.167343065,0.019134311,0.301946312,Channel of Communication,Inappropriate pricing
"RT dguillaume: Barclaycard sxa555 Why is this taking so long, it supported by practically every other bank and Credit card company and n…",0.003581726,0.005899439,0.018253293,0.004349136,0.052320149,0.004613942,0.039375812,0.871606529,Ineffectual Customer Service,Ineffectual Customer Service
BarclaysUKHelp The information you sent refers to the platinum card not the reward card.I am astonished you do not have a record of the date the global alliance ceased,0.022665394,0.025410179,0.057633705,0.072753996,0.073363371,0.025615165,0.09492252,0.627635658,Ineffectual Customer Service,Reward Programme
BarclaysUKHelp I am not referring to the debit card but the Barclaycard Reward visa credit card,0.020863747,0.750845253,0.06277407,0.038903903,0.020579332,0.027700687,0.053737685,0.02459532,Reward Programme,Reward Programme
RT castellinda: Terrible customer service from Barclays JetBlue card mastercard.  Over 56 minutes to explain to 2 reps to reverse fees,0.002011199,0.003151795,0.02665012,0.002573123,0.033882681,0.004471133,0.002172849,0.925087094,Ineffectual Customer Service,Ineffectual Customer Service
Barclays just open a basic current account with you online but had no email or anything about a card being sent out?,0.051839881,0.032430299,0.128724605,0.038999964,0.043493692,0.015585979,0.034444854,0.654480755,Ineffectual Customer Service,Channel of Communication
RT keithbevan: Why don’t credit card companies cancel their interest for a few months. That would help!! #barclays #amex,0.020621773,0.039885703,0.208783031,0.08344689,0.233357787,0.114847094,0.079552218,0.219505534,Channel of Communication,Inappropriate pricing
BarclaysUKHelp Hi Zoe I spoke to multiple people all day Saturday including yourself I still don’t have the ability to pay bills or transfer money you promise me a call back my account is inaccessible apart from using my debit card I’ve really had enough of this now I’ve just been left hanging,0.001604239,0.000604166,0.006983935,0.000791112,0.30601567,0.001991116,0.000970162,0.681039572,Ineffectual Customer Service,Ineffectual Customer Service
BarclaysUKHelp I have opened a young persons account but never even received a debit card after 2 months what should I do?,0.009899084,0.004367779,0.016151346,0.012230617,0.004994629,0.003368594,0.005691069,0.94329685,Ineffectual Customer Service,Ineffectual Customer Service
BarclaysUKHelp just recently applied for a Barclays Business account. Slight hiccup to start but got past that. Finally got the card and pin but needed to call as there was one piece of info missing. Spoke to Ekaterina who sorted everything out. Very professional and polite and-,0.002687078,0.002755302,0.006691408,0.001935359,0.56020242,0.001771548,0.421036273,0.002920602,Channel of Communication,Ineffectual Customer Service
BarclaysUK is it because I can actually pay back the money monthly and not get charged extra that I get rejected for a card? Laughable! Oh well. Only wanted it to get Avios points!,0.001170951,0.413736731,0.00990326,0.116769813,0.002188602,0.131127253,0.002821628,0.322281748,Reward Programme,Reward Programme
SimonPulleyn thetimes i had a credit card company once fail to cancel my account after i wrote them. i wrote a second time and cc'ed the relevant gov't office. then they complied. this was barclays.,0.00300847,0.004130877,0.05104154,0.006124867,0.009975961,0.002450542,0.014676413,0.90859127,Ineffectual Customer Service,Ineffectual Customer Service
BarclaysUKHelp Hi dropped you a few direct messages but haven’t heard back still don’t have service when trying to use the app to pay bills or transfer money debit card works but can’t pay any bills on either mine or my husbands account,0.002324582,0.002347189,0.049192812,0.002395651,0.003237438,0.00308464,0.006900363,0.930517316,Ineffectual Customer Service,Ineffectual Customer Service
"BarclaysUK just written to my wife to say they have, regrettably, had to reduce her credit limit from £100.00 down to £1.00. Think about that! She is stuck somewhere and needs to use her card.😡😡She has had the card for years, thanks for nothing Barclays. Absolute wankers! 🖕👎",0.001999538,0.000874639,0.009602022,0.006626377,0.023617039,0.023147233,0.001081708,0.933051467,Ineffectual Customer Service,Inappropriate pricing
"JetBlue Applied for a JetBlue plus Barclays card which had a 60,000 points offer for $1000 spend in first 90 days. Don’t see the points and called Barclays who say it’s only 15000 points?! The offer said 60,000. Honor the offer!",0.00122855,0.51468122,0.003209213,0.011332358,0.003694491,0.003718412,0.00191329,0.460222423,Reward Programme,Transparency of communication
BarclaysUKHelp Your staff has cancelled my elderly grand mothers card leaving her unable to pay at the super! Disgusting now my mum who is getting your staff cutting off calls ! No English speaking call center staff ! So poor we should move bank the whole family,0.000754943,0.001505173,0.015209539,0.002670814,0.001791609,0.002913893,0.001460688,0.973693371,Ineffectual Customer Service,Ineffectual Customer Service
"JenniButtonUSA SarahLiz2006 adamundefined I’m cracking up that a birthday thread for me is on credit cards. 😂 for anyone who doesn’t know, I kept a chase Southwest card the whole time we were at Ramsey and now have two more chase cards and a Barclays American which almost covered my flights to/from Italy this summer.",0.008721484,0.051951427,0.843879998,0.023208801,0.008567506,0.022587005,0.022362819,0.018720903,Miscellaneous,Reward Programme
Hello there Thanks for your post! I'm very sorry to hear your application for a card has been rejected. I can assure you that a lot is taken into consideration before a decision is made. We take info from your credit file to make sure you meet the eligibility for a card.,0.001766758,0.002556006,0.017814174,0.002638079,0.054489102,0.002299114,0.82293117,0.095505573,Transparency of communication,Ineffectual Customer Service
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
